grid,county,state,place,gradient
28641.0,Cottonwood,MN,"Cottonwood County, MN",3360.0
28642.0,Watonwan,MN,"Watonwan County, MN",3384.0
28643.0,Watonwan,MN,"Watonwan County, MN",3408.0
28644.0,Blue Earth,MN,"Blue Earth County, MN",3432.0
28645.0,Blue Earth,MN,"Blue Earth County, MN",3456.0
28646.0,Waseca,MN,"Waseca County, MN",3480.0
28647.0,Steele,MN,"Steele County, MN",3504.0
28648.0,Steele,MN,"Steele County, MN",3528.0
28649.0,Dodge,MN,"Dodge County, MN",3552.0
28650.0,Olmsted,MN,"Olmsted County, MN",3576.0
28651.0,Olmsted,MN,"Olmsted County, MN",3600.0
28652.0,Olmsted,MN,"Olmsted County, MN",3624.0
28653.0,Winona,MN,"Winona County, MN",3648.0
28654.0,Winona,MN,"Winona County, MN",3672.0
28655.0,Winona,MN,"Winona County, MN",3696.0
28335.0,Rock,MN,"Rock County, MN",3350.0
28336.0,Rock,MN,"Rock County, MN",3375.0
28337.0,Nobles,MN,"Nobles County, MN",3400.0
28338.0,Nobles,MN,"Nobles County, MN",3425.0
28339.0,Jackson,MN,"Jackson County, MN",3450.0
28340.0,Jackson,MN,"Jackson County, MN",3475.0
28341.0,Jackson,MN,"Jackson County, MN",3500.0
28342.0,Martin,MN,"Martin County, MN",3525.0
28343.0,Martin,MN,"Martin County, MN",3550.0
28344.0,Faribault,MN,"Faribault County, MN",3575.0
28345.0,Faribault,MN,"Faribault County, MN",3600.0
28346.0,Freeborn,MN,"Freeborn County, MN",3625.0
28347.0,Freeborn,MN,"Freeborn County, MN",3650.0
28348.0,Freeborn,MN,"Freeborn County, MN",3675.0
28349.0,Mower,MN,"Mower County, MN",3700.0
28350.0,Mower,MN,"Mower County, MN",3725.0
28351.0,Fillmore,MN,"Fillmore County, MN",3750.0
28352.0,Fillmore,MN,"Fillmore County, MN",3775.0
28353.0,Fillmore,MN,"Fillmore County, MN",3800.0
28354.0,Houston,MN,"Houston County, MN",3825.0
28355.0,Houston,MN,"Houston County, MN",3850.0
34530.0,Whatcom,WA,"Whatcom County, WA",116.0
34531.0,Whatcom,WA,"Whatcom County, WA",120.0
34532.0,Whatcom,WA,"Whatcom County, WA",124.0
34533.0,Whatcom,WA,"Whatcom County, WA",128.0
34534.0,Whatcom,WA,"Whatcom County, WA",132.0
34535.0,Whatcom,WA,"Whatcom County, WA",136.0
34536.0,Whatcom,WA,"Whatcom County, WA",140.0
34537.0,Whatcom,WA,"Whatcom County, WA",144.0
34538.0,Okanogan,WA,"Okanogan County, WA",148.0
34539.0,Okanogan,WA,"Okanogan County, WA",152.0
34540.0,Okanogan,WA,"Okanogan County, WA",156.0
34541.0,Okanogan,WA,"Okanogan County, WA",160.0
34542.0,Okanogan,WA,"Okanogan County, WA",164.0
34543.0,Okanogan,WA,"Okanogan County, WA",168.0
34544.0,Okanogan,WA,"Okanogan County, WA",172.0
34545.0,Okanogan,WA,"Okanogan County, WA",176.0
34546.0,Ferry,WA,"Ferry County, WA",180.0
34547.0,Ferry,WA,"Ferry County, WA",184.0
34548.0,Stevens,WA,"Stevens County, WA",188.0
34549.0,Stevens,WA,"Stevens County, WA",192.0
34550.0,Stevens,WA,"Stevens County, WA",196.0
34551.0,Pend Oreille,WA,"Pend Oreille County, WA",200.0
34552.0,Pend Oreille,WA,"Pend Oreille County, WA",204.0
34231.0,Skagit,WA,"Skagit County, WA",150.0
34232.0,Skagit,WA,"Skagit County, WA",155.0
34233.0,Skagit,WA,"Skagit County, WA",160.0
34234.0,Skagit,WA,"Skagit County, WA",165.0
34235.0,Skagit,WA,"Skagit County, WA",170.0
34236.0,Skagit,WA,"Skagit County, WA",175.0
34237.0,Skagit,WA,"Skagit County, WA",180.0
34238.0,Okanogan,WA,"Okanogan County, WA",185.0
34239.0,Okanogan,WA,"Okanogan County, WA",190.0
34240.0,Okanogan,WA,"Okanogan County, WA",195.0
34241.0,Okanogan,WA,"Okanogan County, WA",200.0
34242.0,Okanogan,WA,"Okanogan County, WA",205.0
34243.0,Okanogan,WA,"Okanogan County, WA",210.0
34244.0,Okanogan,WA,"Okanogan County, WA",215.0
34245.0,Okanogan,WA,"Okanogan County, WA",220.0
34246.0,Ferry,WA,"Ferry County, WA",225.0
34247.0,Ferry,WA,"Ferry County, WA",230.0
34248.0,Ferry,WA,"Ferry County, WA",235.0
34249.0,Stevens,WA,"Stevens County, WA",240.0
34250.0,Stevens,WA,"Stevens County, WA",245.0
34251.0,Pend Oreille,WA,"Pend Oreille County, WA",250.0
34252.0,Pend Oreille,WA,"Pend Oreille County, WA",255.0
33930.0,Island,WA,"Island County, WA",174.0
33931.0,Skagit,WA,"Skagit County, WA",180.0
33932.0,Skagit,WA,"Skagit County, WA",186.0
33933.0,Skagit,WA,"Skagit County, WA",192.0
33934.0,Skagit,WA,"Skagit County, WA",198.0
33935.0,Skagit,WA,"Skagit County, WA",204.0
33936.0,Skagit,WA,"Skagit County, WA",210.0
33937.0,Chelan,WA,"Chelan County, WA",216.0
33938.0,Chelan,WA,"Chelan County, WA",222.0
33939.0,Okanogan,WA,"Okanogan County, WA",228.0
33940.0,Okanogan,WA,"Okanogan County, WA",234.0
33941.0,Okanogan,WA,"Okanogan County, WA",240.0
33942.0,Okanogan,WA,"Okanogan County, WA",246.0
33943.0,Okanogan,WA,"Okanogan County, WA",252.0
33944.0,Okanogan,WA,"Okanogan County, WA",258.0
33945.0,Okanogan,WA,"Okanogan County, WA",264.0
33946.0,Ferry,WA,"Ferry County, WA",270.0
33947.0,Ferry,WA,"Ferry County, WA",276.0
33948.0,Stevens,WA,"Stevens County, WA",282.0
33949.0,Stevens,WA,"Stevens County, WA",288.0
33950.0,Stevens,WA,"Stevens County, WA",294.0
33951.0,Pend Oreille,WA,"Pend Oreille County, WA",300.0
33952.0,Pend Oreille,WA,"Pend Oreille County, WA",306.0
33622.0,Clallam,WA,"Clallam County, WA",147.0
33623.0,Clallam,WA,"Clallam County, WA",154.0
33624.0,Clallam,WA,"Clallam County, WA",161.0
33625.0,Clallam,WA,"Clallam County, WA",168.0
33626.0,Clallam,WA,"Clallam County, WA",175.0
33628.0,Clallam,WA,"Clallam County, WA",189.0
33632.0,Snohomish,WA,"Snohomish County, WA",217.0
33633.0,Snohomish,WA,"Snohomish County, WA",224.0
33634.0,Snohomish,WA,"Snohomish County, WA",231.0
33635.0,Snohomish,WA,"Snohomish County, WA",238.0
