grid,statefp,county,state
32156.0,16.0,Clearwater,ID
32157.0,16.0,Clearwater,ID
32158.0,16.0,Clearwater,ID
32159.0,16.0,Clearwater,ID
32160.0,16.0,Clearwater,ID
31853.0,16.0,Latah,ID
31854.0,16.0,Nez Perce,ID
31855.0,16.0,Clearwater,ID
31856.0,16.0,Clearwater,ID
31857.0,16.0,Clearwater,ID
31858.0,16.0,Clearwater,ID
31859.0,16.0,Clearwater,ID
31860.0,16.0,Clearwater,ID
31861.0,16.0,Clearwater,ID
31862.0,16.0,Idaho,ID
31863.0,16.0,Idaho,ID
31553.0,16.0,Nez Perce,ID
31554.0,16.0,Nez Perce,ID
31555.0,16.0,Nez Perce,ID
31556.0,16.0,Clearwater,ID
